Serial,Book Name,Author Name,Ratings
2872,The Dark Tower Series: Books 1-7 (The Dark Tower #1-7),Stephen King, 4.61
2873,"Styxx (Dark-Hunter, #22)",Sherrilyn Kenyon, 4.58
2874,"Daemon (Daemon, #1)",Daniel Suarez, 4.15
2875,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson, 4.26
2876,"Once Burned (Night Prince, #1)",Jeaniene Frost, 4.19
2877,"Devil May Cry (Dark-Hunter, #11)",Sherrilyn Kenyon, 4.27
2878,The Mermaid Chair,Sue Monk Kidd, 3.19
2879,The Essential Rumi,Rumi, 4.37
2880,"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)",Michael Scott, 4.10
2881,"War Storm (Red Queen, #4)",Victoria Aveyard, 3.87
2882,"For a Few Demons More (The Hollows, #5)",Kim Harrison, 4.30
2883,Alexander Crowley - A New King in Town,Don Barr, 4.40
2884,In Her Shoes,Jennifer Weiner, 3.80
2885,"My Blood Approves (My Blood Approves, #1)",Amanda Hocking, 3.82
2886,The Jungle Book,Rudyard Kipling, 3.91
2887,الطنطورية,رضوى عاشور, 4.34
2888,The Running Man,Richard Bachman, 3.89
2889,"Triptych (Will Trent, #1)",Karin Slaughter, 4.10
2890,"Mrs. Mike (Mrs. Mike, #1)",Benedict Freedman, 4.16
2891,"The Mad Ship (Liveship Traders, #2)",Robin Hobb, 4.21
2892,"The Blinding Knife (Lightbringer, #2)",Brent Weeks, 4.38
2893,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain, 4.09
2894,Every Last Word,Tamara Ireland Stone, 4.26
2895,History Is All You Left Me,Adam Silvera, 4.02
2896,"Genghis: Birth of an Empire (Conqueror, #1)",Conn Iggulden, 4.35
2897,"UnEnchanted (An Unfortunate Fairy Tale, #1)",Chanda Hahn, 3.89
2898,"Midnight Obsession (Midnight, #4)",Melinda Leigh, 4.25
2899,The Lowland,Jhumpa Lahiri, 3.85
2900,"Lioness Rampant (Song of the Lioness, #4)",Tamora Pierce, 4.22
2901,The Fire Next Time,James Baldwin, 4.51
2902,"Sherlock Holmes: The Complete Novels and Stories, Volume I",Arthur Conan Doyle, 4.47
2903,Dead Poets Society,N.H. Kleinbaum, 4.21
2904,"The System of the World (The Baroque Cycle, #3)",Neal Stephenson, 4.33
2905,"The Program (The Program, #1)",Suzanne Young, 4.06
2906,Keeping the Moon,Sarah Dessen, 3.84
2907,The Three Stigmata of Palmer Eldritch,Philip K. Dick, 4.01
2908,"Where'd You Go, Bernadette",Maria Semple, 3.88
2909,"Sweet Dreams (Colorado Mountain, #2)",Kristen Ashley, 4.38
2910,"That Was Then, This Is Now",S.E. Hinton, 3.92
2911,"Erak's Ransom (Ranger's Apprentice, #7)",John Flanagan, 4.33
2912,"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)",Rick Riordan, 4.34
2913,Maniac Magee,Jerry Spinelli, 3.88
2914,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson, 3.89
2915,"The Crimson Crown (Seven Realms, #4)",Cinda Williams Chima, 4.47
2916,The Distant Hours,Kate Morton, 3.88
2917,"Squire (Protector of the Small, #3)",Tamora Pierce, 4.24
2918,"Knife of Dreams (The Wheel of Time, #11)",Robert Jordan, 4.15
2919,"City of Golden Shadow (Otherland, #1)",Tad Williams, 3.92
2920,Children of Dune (Dune Chronicles #3),Frank Herbert, 3.95
2921,'Tis,Frank McCourt, 3.69
2922,The Death of Bunny Munro,Nick Cave, 3.42
2923,The Constant Gardener,John le Carré, 3.81
2924,"Use of Weapons (Culture, #3)",Iain M. Banks, 4.17
2925,Ramonst,A.F. Knott, 4.49
2926,"The Hostile Hospital (A Series of Unfortunate Events, #8)",Lemony Snicket, 3.98
2927,"Poison Princess (The Arcana Chronicles, #1)",Kresley Cole, 4.10
2928,"The Twilight Saga Complete Collection  (Twilight, #1-4, 3.5)",Stephenie Meyer, 4.34
2929,"The Apprentice (Rizzoli & Isles, #2)",Tess Gerritsen, 4.12
2930,Betrayal of Justice (Zachary Blake Betrayal #2),Mark M. Bello, 4.28
2931,"Ninth House (Alex Stern, #1)",Leigh Bardugo, 4.04
2932,Crime,Irvine Welsh, 3.47
2933,"Fire and Ice (Warriors, #2)",Erin Hunter, 4.37
2934,"Jingo (Discworld, #21; City Watch, #4)",Terry Pratchett, 4.15
2935,"Brief Lives (The Sandman, #7)",Neil Gaiman, 4.55
2936,In the Time of the Butterflies,Julia Alvarez, 4.14
2937,We Were the Mulvaneys,Joyce Carol Oates, 3.74
2938,Saving CeeCee Honeycutt,Beth Hoffman, 3.93
2939,Save Yourself,Kelly Braffet, 3.38
2940,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker, 4.36
2941,"This Savage Song (Monsters of Verity, #1)",Victoria Schwab, 4.02
2942,Imperial Bedrooms,Bret Easton Ellis, 3.17
2943,All Over But the Shoutin',Rick Bragg, 4.11
2944,Dress Your Family in Corduroy and Denim,David Sedaris, 4.08
2945,"Vain (The Seven Deadly, #1)",Fisher Amelie, 4.23
2946,"Losing It (Losing It, #1)",Cora Carmack, 3.74
2947,"Destined (House of Night, #9)",P.C. Cast, 4.03
2948,Lectures on Faith,Joseph Smith Jr., 4.49
2949,The Poetry of Pablo Neruda,Pablo Neruda, 4.44
2950,"Touch of Frost (Mythos Academy, #1)",Jennifer Estep, 3.95
2951,"The Twilight Saga (Twilight, #1-4)",Stephenie Meyer, 3.90
2952,The Leopard,Giuseppe Tomasi di Lampedusa, 4.01
2953,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",Abbi Glines, 4.21
2954,Ordeal,Tatyana K. Varenko, 3.91
2955,"The Long Winter (Little House, #6)",Laura Ingalls Wilder, 4.14
2956,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)",Lemony Snicket, 3.99
2957,"Queen of the Darkness (The Black Jewels, #3)",Anne Bishop, 4.37
2958,"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)",Arthur Conan Doyle, 4.31
2959,ESV Study Bible,Anonymous, 4.68
2960,The Bone Clocks,David Mitchell, 3.83
2961,The Nanny Song,Misty Mount, 4.23
2962,"The White Dragon (Pern, #3)",Anne McCaffrey, 4.18
2963,History of the Peloponnesian War,Thucydides, 3.86
2964,I Dream of Yellow Kites,Retta Bono, 4.03
2965,Phantom,Susan  Kay, 4.33
2966,Lilac Girls,Martha Hall Kelly, 4.27
2967,"Trust: A New Beginning (Trust Trilogy, #1)",Cristiane Serruya, 3.49
2968,"Succubus on Top (Georgina Kincaid, #2)",Richelle Mead, 4.03
2969,Baltasar and Blimunda,José Saramago, 3.94
2970,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin, 4.08
2971,Notes from a Small Island,Bill Bryson, 3.90
2972,The Alice Network,Kate Quinn, 4.28
2973,"Reunion (The Mediator, #3)",Jenny Carroll, 4.06
2974,"Piercing the Darkness (Darkness, #2)",Frank E. Peretti, 4.31
2975,"Hunting Ground (Alpha & Omega, #2)",Patricia Briggs, 4.26
2976,"The Kings of Clonmel (Ranger's Apprentice, #8)",John Flanagan, 4.30
2977,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",Laurell K. Hamilton, 4.11
2978,"Finding Sky (Benedicts, #1)",Joss Stirling, 4.07
2979,Batman: The Long Halloween,Jeph Loeb, 4.32
2980,Two Boys Kissing,David Levithan, 4.09
2981,"The Recruit (Cherub, #1)",Robert Muchamore, 4.24
2982,"Lord Loss (The Demonata, #1)",Darren Shan, 4.23
2983,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",Louise Rennison, 3.75
2984,"I, Claudius/Claudius the God",Robert Graves, 4.43
2985,Oscar et la dame rose,Éric-Emmanuel Schmitt, 4.25
2986,Homo Faber,Max Frisch, 3.73
2987,The Samurai's Garden,Gail Tsukiyama, 4.14
2988,The Memoirs of Cleopatra,Margaret George, 4.15
2989,"Elixir (Covenant, #3.5)",Jennifer L. Armentrout, 4.37
2990,"Proven Guilty (The Dresden Files, #8)",Jim Butcher, 4.37
2991,"Beyond the Kingdoms (The Land of Stories, #4)",Chris Colfer, 4.47
2992,Life and Fate,Vasily Grossman, 4.40
2993,"Naruto, Vol. 01: Uzumaki Naruto (Naruto, #1)",Masashi Kishimoto, 4.41
2994,"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",Carolyn Keene, 3.98
2995,Selected Poems,Robert Frost, 4.17
2996,To Dream the Blackbane,Richard J.   O'Brien, 4.52
2997,The Yellow Wall-Paper,Charlotte Perkins Gilman, 4.10
2998,"Forest of Secrets (Warriors, #3)",Erin Hunter, 4.42
2999,"Worm (Parahumans, #1)",Wildbow, 4.62
3000,Stepbrother Dearest,Penelope Ward, 4.07
3001,Desperation,Stephen King, 3.84
3002,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson, 4.58
3003,The Devil's Deceptions: Is There Life After Death?,Ginger Baum, 4.96
3004,Forever,Pete Hamill, 3.95
3005,"Little Brother (Little Brother, #1)",Cory Doctorow, 3.93
3006,"Ethereal Fury (Gemini Rising, #1)",Jessica O'Gorek, 3.94
3007,Struck By Lightning: The Carson Phillips Journal,Chris Colfer, 3.82
3008,Adjustment Day,Chuck Palahniuk, 3.15
3009,Loving Frank,Nancy Horan, 3.75
3010,"Rodrick Rules (Diary of a Wimpy Kid, #2)",Jeff Kinney, 4.14
3011,The Spanish Love Deception,Elena  Armas, 4.18
3012,Who's Afraid of Virginia Woolf?,Edward Albee, 4.06
3013,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",Terry Pratchett, 4.26
3014,Nick & Norah's Infinite Playlist,Rachel Cohn, 3.70
3015,The Waste Land and Other Poems,T.S. Eliot, 4.21
3016,All Your Perfects,Colleen Hoover, 4.31
3017,"White Witch, Black Curse (The Hollows, #7)",Kim Harrison, 4.32
3018,The Cost of Discipleship,Dietrich Bonhoeffer, 4.25
3019,Batman: Year One,Frank Miller, 4.23
3020,Legendborn (The Legendborn Cycle #1),Tracy Deonn, 4.43
3021,Samarkand,Amin Maalouf, 4.24
3022,"Red Sparrow (Red Sparrow Trilogy, #1)",Jason  Matthews, 3.95
3023,The Sailor Who Fell from Grace with the Sea,Yukio Mishima, 3.89
3024,Tutunamayanlar,Oğuz Atay, 4.56
3025,"Winter's Heart (The Wheel of Time, #9)",Robert Jordan, 3.94
3026,"My Favorite Mistake (My Favorite Mistake, #1)",Chelsea M. Cameron, 3.98
3027,"Monument 14 (Monument 14, #1)",Emmy Laybourne, 3.90
3028,Finding Audrey,Sophie Kinsella, 3.76
3029,"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan, 3.83
3030,Finnegans Wake,James Joyce, 3.67
3031,"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov, 4.14
3032,What Happened to Goodbye,Sarah Dessen, 3.94
3033,Off the Grid: The Catalyst,Brian  Courtney, 4.18
3034,"Eight Cousins (Eight Cousins, #1)",Louisa May Alcott, 4.01
3035,"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie, 4.02
3036,Shanghai Girls (Shanghai Girls #1),Lisa See, 3.89
3037,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge, 4.13
3038,Invisible,Paul Auster, 3.69
3039,Jemima J,Jane Green, 3.67
3040,In Defense of Food: An Eater's Manifesto,Michael Pollan, 4.05
3041,"Of Poseidon (The Syrena Legacy, #1)",Anna Banks, 4.00
3042,The Comfort of Strangers,Ian McEwan, 3.40
3043,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",Terry Pratchett, 4.20
3044,The Robber Bride,Margaret Atwood, 3.81
3045,Stories of Your Life and Others,Ted Chiang, 4.22
3046,"Bloody Jack (Bloody Jack, #1)",L.A. Meyer, 4.09
3047,"1st to Die (Women's Murder Club, #1)",James Patterson, 4.08
3048,"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll, 4.04
3049,"The Hangman's Daughter (The Hangman's Daughter, #1)",Oliver Pötzsch, 3.73
3050,"The Night Angel Trilogy (Night Angel, #1-3)",Brent Weeks, 4.42
3051,Naked,David Sedaris, 4.07
3052,"Grave Peril (The Dresden Files, #3)",Jim Butcher, 4.13
3053,"The Dead-Tossed Waves (The Forest of Hands and Teeth, #2)",Carrie Ryan, 3.91
3054,"Godsgrave (The Nevernight Chronicle, #2)",Jay Kristoff, 4.48
3055,The Crow Road,Iain Banks, 4.06
3056,"It's Not Summer Without You (Summer, #2)",Jenny Han, 4.05
3057,"The Marriage Bargain (Marriage to a Billionaire, #1)",Jennifer Probst, 3.80
3058,The Dinner,Herman Koch, 3.24
3059,The Great and Secret Show (Book of the Art #1),Clive Barker, 4.06
3060,"The Eternity Cure (Blood of Eden, #2)",Julie Kagawa, 4.19
3061,"Deadly Little Secret (Touch, #1)",Laurie Faria Stolarz, 3.86
3062,"Playing with Fire (Skulduggery Pleasant, #2)",Derek Landy, 4.30
3063,Goodbye to All That,Robert Graves, 3.84
3064,One Last Stop,Casey McQuiston, 4.10
3065,The Book of Laughter and Forgetting,Milan Kundera, 3.98
3066,The Thief of Always,Clive Barker, 4.20
3067,الإسلام بين الشرق والغرب,Alija Izetbegović, 4.47
3068,I Never Promised You a Rose Garden,Hannah  Green, 3.87
3069,"The Opal Deception (Artemis Fowl, #4)",Eoin Colfer, 4.03
3070,"Still Life With Crows (Pendergast, #4)",Douglas Preston, 4.18
3071,"Son (The Giver, #4)",Lois Lowry, 3.97
3072,Silk,Alessandro Baricco, 3.85
3073,Holding Up the Universe,Jennifer Niven, 3.81
3074,Dr. Seuss's ABC: An Amazing Alphabet Book!,Dr. Seuss, 4.09
3075,"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",Catherynne M. Valente, 3.91
3076,Three Weeks With My Brother,Nicholas Sparks, 4.01
3077,Lost Souls,Poppy Z. Brite, 3.90
3078,My Year of Rest and Relaxation,Ottessa Moshfegh, 3.72
3079,Savvy Sage Online,Richard Sprout, 4.27
3080,The Feminine Mystique,Betty Friedan, 3.85
3081,"The Crown (The Selection, #5)",Kiera Cass, 3.68
3082,The Overstory,Richard Powers, 4.11
3083,The Brothers Silver,Marc Jampole, 4.32
3084,"A Merciful Secret (Mercy Kilpatrick, #3)",Kendra Elliot, 4.30
3085,"Luck in the Shadows (Nightrunner, #1)",Lynn Flewelling, 4.09
3086,"Mistborn Trilogy Boxed Set (Mistborn, #1-3)",Brandon Sanderson, 4.57
3087,The Time Paradox (Artemis Fowl #6),Eoin Colfer, 4.08
3088,The Fairy-Tale Detectives (The Sisters Grimm #1),Michael Buckley, 4.02
3089,"The Killer Collective (John Rain, #10; Ben Treven #4; Livia Lone #3)",Barry Eisler, 3.91
3090,"One Shot (Jack Reacher, #9)",Lee Child, 4.21
3091,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan, 3.87
3092,"The Siege of Macindaw (Ranger's Apprentice, #6)",John Flanagan, 4.34
3093,At the Mountains of Madness,H.P. Lovecraft, 3.85
3094,"Maskerade (Discworld, #18; Witches #5)",Terry Pratchett, 4.06
3095,Invitation to a Beheading,Vladimir Nabokov, 3.91
3096,"In the Hand of the Goddess (Song of the Lioness, #2)",Tamora Pierce, 4.19
3097,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling, 4.33
3098,Mystical Trash,Mary Ramsey, 4.43
3099,"Haunted (The Mediator, #5)",Jenny Carroll, 4.12
3100,"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede, 4.11
3101,Motherless Brooklyn,Jonathan Lethem, 3.87
3102,"My Family and Other Animals (Corfu Trilogy, #1)",Gerald Durrell, 4.13
3103,"Mystery Man (Dream Man, #1)",Kristen Ashley, 4.21
3104,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman, 4.16
3105,The Plot Against America,Philip Roth, 3.76
3106,Me and Earl and the Dying Girl,Jesse Andrews, 3.54
3107,Love & Misadventure,Lang Leav, 3.96
3108,The Mysterious Stranger,Mark Twain, 4.13
3109,"The Outlaw Demon Wails (The Hollows, #6)",Kim Harrison, 4.35
3110,La ciudad y los perros,Mario Vargas Llosa, 4.14
3111,An Ideal Husband,Oscar Wilde, 4.00
3112,Hunting and Gathering,Anna Gavalda, 4.11
3113,Titus Andronicus,William Shakespeare, 3.69
3114,"Chain of Gold (The Last Hours, #1)",Cassandra Clare, 4.45
3115,Glue,Irvine Welsh, 3.82
3116,A Gallery of Mothers (Brathius History #2),J.S. Latshaw, 4.31
3117,The Yearling,Marjorie Kinnan Rawlings, 4.01
3118,"Vampire Kisses: The Beginning (Vampire Kisses, #1-3)",Ellen Schreiber, 4.13
3119,"The Initiation / The Captive Part I (The Secret Circle, #1-2)",L.J. Smith, 3.96
3120,"The Darkest Kiss (Lords of the Underworld, #2)",Gena Showalter, 4.23
3121,A Simple Plan,Scott        Smith, 3.90
3122,"Witch & Wizard (Witch & Wizard, #1)",James Patterson, 3.55
3123,Six Days of the Condor,James Grady, 4.09
3124,"Dare You To (Pushing the Limits, #2)",Katie McGarry, 4.15
3125,Leaving Time,Jodi Picoult, 3.97
3126,Go Set a Watchman,Harper Lee, 3.32
3127,Loveless,Alice Oseman, 4.31
3128,"Dragonsong (Harper Hall, #1)",Anne McCaffrey, 4.19
3129,Ever Yours: The Essential Letters,Vincent van Gogh, 4.37
3130,Holy Bible: The New King James Version,Anonymous, 4.37
3131,"Remy (Real, #3)",Katy Evans, 4.29
3132,"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout, 4.25
3133,حول العالم في 200 يوم,أنيس منصور, 4.08
3134,"The Prisoner of Cell 25 (Michael Vey, #1)",Richard Paul Evans, 4.22
3135,"Sugar Daddy (Travises, #1)",Lisa Kleypas, 4.00
3136,"Song of Susannah (The Dark Tower, #6)",Stephen King, 3.97
3137,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",George R.R. Martin, 4.63
3138,The Palace of Illusions,Chitra Banerjee Divakaruni, 4.19
3139,Matterhorn,Karl Marlantes, 4.18
3140,"Awake at Dawn (Shadow Falls, #2)",C.C. Hunter, 4.25
3141,Handle with Care,Jodi Picoult, 3.98
3142,Awoken,Timothy   Miller, 4.13
3143,Meeting With Christ and Other Poems,Deepak Chaswal, 4.48
3144,Letters From Your Soul,Victor Noble, 4.32
3145,"On the Fence (Old Town Shops, #2)",Kasie West, 4.04
3146,The Little Friend,Donna Tartt, 3.47
3147,"Unleash the Night (Dark Hunter, #8; Were-Hunter, #2)",Sherrilyn Kenyon, 4.30
3148,The Devotion of Suspect X (Detective Galileo #1),Keigo Higashino, 4.13
3149,"The Rising (Blue River Chronicles, #1)",C.M. Meridian, 3.59
3150,Where I'm Calling From: New and Selected Stories,Raymond Carver, 4.42
3151,Life: A User's Manual,Georges Perec, 4.20
3152,"The Butterfly Garden  (The Collector, #1)",Dot Hutchison, 4.04
3153,"Yours Truly, Taddy (The Undergrad Years, #2; Invitation to Eden, #1)",Avery Aster, 3.66
3154,The Rings of Saturn,W.G. Sebald, 4.24
3155,The Confessions of Nat Turner,William Styron, 3.96
3156,The Arrival,Shaun Tan, 4.34
3157,Deep World Fire  (Deep World Saga #1),C.M. Meridian, 4.12
3158,"Consequences (Consequences, #1)",Aleatha Romig, 3.93
3159,The Story of a New Name (The Neapolitan Novels #2),Elena Ferrante, 4.41
3160,The Blindspots Between Us: How to Overcome Unconscious Cognitive Bias and Build Better Relationships,Gleb Tsipursky, 4.01
3161,"The Siren (The Original Sinners, #1)",Tiffany Reisz, 4.03
3162,Child of God,Cormac McCarthy, 3.81
3163,"The Gamble (Colorado Mountain, #1)",Kristen Ashley, 4.26
3164,"The Magic Faraway Tree (The Faraway Tree, #2)",Enid Blyton, 4.26
3165,The Blind Owl,Sadegh Hedayat, 3.99
3166,Hometown Girl After All (Hometown #2),Kirsten Fullmer, 4.31
3167,"Plum Island (John Corey, #1)",Nelson DeMille, 4.04
3168,"Rot & Ruin (Rot & Ruin, #1)",Jonathan Maberry, 4.10
3169,Thr3e,Ted Dekker, 4.06
3170,The Monk,Matthew Gregory Lewis, 3.81
3171,The Circle,Dave Eggers, 3.44
3172,"Darkest Hour (The Mediator, #4)",Jenny Carroll, 4.14
3173,A Winter's Promise (The Mirror Visitor #1),Christelle Dabos, 4.12
3174,Kitchen,Banana Yoshimoto, 3.88
3175,"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller, 4.03
3176,The Taking of Peggy Martin,Karen Glista, 4.30
3177,Sold,Patricia McCormick, 4.22
3178,Breathing Lessons,Anne Tyler, 3.67
3179,"The Steward (Weald Fae Journals, #1)",Christopher  Shields, 3.92
3180,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)",Abbi Glines, 4.24
3181,Winter Garden,Kristin Hannah, 4.21
3182,Resilience: Adapt and Plan for the New Abnormal of the Covid-19 Coronavirus Pandemic,Gleb Tsipursky, 4.51
3183,The Golden Bowl,Henry James, 3.79
3184,"Mad Love (DCYE, #3)",Lynessa Layne, 4.03
3185,Caressed by Ice (Psy-Changeling #3),Nalini Singh, 4.27
3186,"The Fall of Five (Lorien Legacies, #4)",Pittacus Lore, 4.23
3187,Summer of the Monkeys,Wilson Rawls, 4.05
3188,"Freak the Mighty (Freak The Mighty, #1)",Rodman Philbrick, 4.02
3189,"Child of the Prophecy (Sevenwaters, #3)",Juliet Marillier, 4.12
3190,"Ninth Key (The Mediator, #2)",Jenny Carroll, 4.04
3191,A Soldier of the Great War,Mark Helprin, 4.35
3192,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle, 3.99
3193,"Petals on the Wind (Dollanganger, #2)",V.C. Andrews, 3.82
3194,The Gray House,Mariam Petrosyan, 4.21
3195,Prep,Curtis Sittenfeld, 3.41
3196,"Tricks (Tricks, #1)",Ellen Hopkins, 4.29
3197,"Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)",Jessica Day George, 3.94
3198,"The Dark and Hollow Places (The Forest of Hands and Teeth, #3)",Carrie Ryan, 4.02
3199,The Lacuna,Barbara Kingsolver, 3.77
3200,"Night Star (The Immortals, #5)",Alyson Noel, 3.81
3201,"Visions (The Secret Watchers, #1)",Lauren Klever, 4.40
3202,"Falling into You (Falling, #1)",Jasinda Wilder, 4.03
3203,Under the Tuscan Sun,Frances Mayes, 3.76
3204,"Edenbrooke (Edenbrooke, #1)",Julianne Donaldson, 4.32
3205,"A Thousand Pieces of You (Firebird, #1)",Claudia Gray, 3.89
3206,"Rilla of Ingleside (Anne of Green Gables, #8)",L.M. Montgomery, 4.21
3207,Hometown Girl Forever (Hometown #3),Kirsten Fullmer, 4.31
3208,"Echo (Species Intervention #6609, #2)",J.K. Accinni, 4.12
3209,"Dragonsinger (Harper Hall, #2)",Anne McCaffrey, 4.28
3210,Fragile Lives: A Heart Surgeon’s Stories of Life and Death on the Operating Table,Stephen Westaby, 4.35
3211,"Career of Evil (Cormoran Strike, #3)",Robert Galbraith, 4.19
3212,"The Dragon Heir (The Heir Chronicles, #3)",Cinda Williams Chima, 4.14
3213,Britt-Marie Was Here,Fredrik Backman, 4.06
3214,"Dark Guardian (Dark Guardian, #1)",Ammar Habib, 4.21
3215,"Fairy, Fairy, Quite Contrary (A Fairy Awesome Story, #4)",Ellie Aiden, 3.95
3216,"On the Banks of Plum Creek (Little House, #4)",Laura Ingalls Wilder, 4.20
3217,Cruel Beauty,Rosamund Hodge, 3.68
3218,"Conversations with God: An Uncommon Dialogue, Book 1",Neale Donald Walsch, 4.16
3219,"The Hard Way (Jack Reacher, #10)",Lee Child, 4.16
3220,"Because of Mr. Terupt (Mr. Terupt, #1)",Rob Buyea, 4.35
3221,Those Who Save Us,Jenna Blum, 4.09
3222,"Backstage Pass (Sinners on Tour, #1)",Olivia Cunning, 4.01
3223,"Barely Breathing (Breathing, #2)",Rebecca    Donovan, 4.31
3224,"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir, 4.21
3225,"La resistencia (Memorias de Idhún, #1)",Laura Gallego García, 4.14
3226,"Fueled (Driven, #2)",K. Bromberg, 4.48
3227,Death and the Dervish,Meša Selimović, 4.54
3228,"The Duke and I (Bridgertons, #1)",Julia Quinn, 3.85
3229,"Full Dark, No Stars",Stephen King, 4.05
3230,The Jewel in the Crown,Paul Scott, 4.14
3231,Portrait in Sepia,Isabel Allende, 3.98
3232,Generation X: Tales for an Accelerated Culture,Douglas Coupland, 3.73
3233,On Liberty,John Stuart Mill, 3.97
3234,The Fill-In Boyfriend,Kasie West, 3.91
3235,"Abandon (Abandon, #1)",Meg Cabot, 3.69
3236,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis, 4.22
3237,"Rising Storm (Warriors, #4)",Erin Hunter, 4.40
3238,"The Queen of Attolia (The Queen's Thief, #2)",Megan Whalen Turner, 4.13
3239,"The Emperor of Nihon-Ja (Ranger's Apprentice, #10)",John Flanagan, 4.42
3240,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King, 4.05
3241,"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan, 4.53
3242,Hey Nostradamus!,Douglas Coupland, 3.71
3243,The Charterhouse of Parma,Stendhal, 3.81
3244,"East (East, #1)",Edith Pattou, 4.14
3245,The Sweet Gum Tree,Katherine Allred, 4.27
3246,The Glass Lake,Maeve Binchy, 3.95
3247,"The Faceless Ones (Skulduggery Pleasant, #3)",Derek Landy, 4.40
3248,Any Human Heart,William  Boyd, 4.28
3249,"Charmed Life (Chrestomanci, #1)",Diana Wynne Jones, 3.95
3250,"Archenemies (Renegades, #2)",Marissa Meyer, 4.30
3251,The Atlantis Complex (Artemis Fowl #7),Eoin Colfer, 3.98
3252,"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)",Michael Scott, 4.24
3253,"The Black Dahlia (L.A. Quartet, #1)",James Ellroy, 3.77
3254,الرحيق المختوم,Safiur Rahman Mubarakpuri, 4.59
3255,Red Russia,Tanya Thompson, 4.16
3256,"Pyramids (Discworld, #7)",Terry Pratchett, 3.90
3257,"Midnight Rising (Midnight Breed, #4)",Lara Adrian, 4.18
3258,"The Queen's Fool (The Plantagenet and Tudor Novels, #12)",Philippa Gregory, 3.87
3259,"Kushiel's Avatar (Phèdre's Trilogy, #3)",Jacqueline Carey, 4.37
3260,"The Dragonet Prophecy (Wings of Fire, #1)",Tui T. Sutherland, 4.25
3261,"The Rose & the Dagger (The Wrath and the Dawn, #2)",Renée Ahdieh, 4.04
3262,The Case for Christ,Lee Strobel, 4.16
3263,This Is How You Lose the Time War,Amal El-Mohtar, 3.96
3264,"Winger (Winger, #1)",Andrew  Smith, 4.04
3265,"The Realms of the Gods (Immortals, #4)",Tamora Pierce, 4.31
3266,Black Lies,Alessandra Torre, 4.28
3267,Dom Casmurro,Machado de Assis, 4.32
3268,The Importance of Being Earnest and Other Plays,Oscar Wilde, 4.22
3269,"River Marked (Mercy Thompson, #6)",Patricia Briggs, 4.26
3270,Sh*t My Dad Says,Justin Halpern, 3.96
3271,Landline,Rainbow Rowell, 3.55
3272,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco, 4.01
3273,"Wolf-Speaker (Immortals, #2)",Tamora Pierce, 4.14
3274,"The Present (VanWest, #2)",Kenneth   Thomas, 4.23
3275,حوار مع صديقي الملحد,مصطفى محمود, 3.89
3276,"The Borrowers (The Borrowers, #1)",Mary Norton, 4.02
3277,The Camel Club (The Camel Club #1),David Baldacci, 4.05
3278,The Age of Reason,Jean-Paul Sartre, 3.98
3279,The Charm School,Nelson DeMille, 4.27
3280,Counting by 7s,Holly Goldberg Sloan, 4.16
